player,club,pos,double_barrel,picture,19-20 Power Rk,20-21 Power Rk,21-22 Power Rk
Daryl Janmaat,WAT,D,no,yes,274,,
David Brooks,BOU,M,no,yes,318,,
David Button,WBA,G,no,yes,,460,
David de Gea,MUN,G,yes,yes,145,204,169
David Luiz,ARS,D,no,yes,254,280,
David Martin,WHU,G,no,yes,347,,
David McGoldrick,SHU,F,yes,yes,184,273,
David Raya Martin,BRF,G,no,yes,,,196
David Silva,MCI,M,no,yes,9,,
Davinson Sanchez,TOT,D,no,yes,326,217,39
Davy Propper,BHA,M,no,yes,290,441,
Dean Henderson,MUN,G,no,yes,119,167,
DeAndre Yedlin,NEW,D,yes,yes,411,429,
Declan Rice,WHU,M,no,yes,124,175,92
Dejan Kulusevski,TOT,"M,F",no,yes,,,44
Dejan Lovren,LIV,D,no,yes,247,,
Dele Alli,EVE,M,no,yes,37,211,283
Demarai Gray,EVE,"M,F",no,yes,335,494,77
Denis Odoi,FUL,D,no,yes,,438,
Dennis Praet,LEI,M,no,yes,170,192,
Dennis Srbeny,NOR,F,no,yes,473,,
Diego Llorente,LEE,D,no,yes,,216,198
Diego Rico,BOU,D,no,yes,89,,
Dimitri Foulquier,WAT,D,no,yes,455,,
Dimitris Giannoulis,NOR,D,no,yes,,,111
Diogo Dalot,MUN,D,no,yes,457,,66
Diogo Jota,LIV,F,no,yes,98,91,13
Divock Origi,LIV,F,no,yes,173,358,487
Djibril Sidibe,EVE,D,no,yes,75,,
Domingos Quina,WAT,M,no,yes,487,,
Dominic Calvert-Lewin,EVE,F,yes,yes,101,66,208
Dominic Solanke,BOU,F,no,yes,324,,
Dominic Thompson,BRF,D,no,yes,,,463
Donny van de Beek,EVE,M,yes,yes,,295,354
Douglas Luiz,AVL,M,no,yes,240,310,249
Dwight Gayle,NEW,F,no,yes,238,430,512
Dwight McNeil,BUR,M,no,yes,84,141,79
Eberechi Eze,CRY,M,no,yes,,87,241
Eddie Nketiah,ARS,F,no,yes,354,340,212
Ederson,MCI,G,no,yes,62,74,56
Edinson Cavani,MUN,F,no,yes,,169,273
Edo Kayembe,WAT,M,no,yes,,,325
Edouard Mendy,CHE,G,no,yes,,132,130
Elliot Anderson,NEW,M,no,yes,,512,
Ellis Simms,EVE,F,no,yes,,,482
Emerson,CHE,D,no,yes,223,474,521
Emerson Royal,TOT,D,no,yes,,,78
Emil Krafth,NEW,D,no,yes,374,251,343
Emile Smith Rowe,ARS,M,no,yes,456,107,55
Emiliano Buendia,AVL,"M,F",no,yes,42,,87
Emiliano Martinez,AVL,G,no,yes,125,94,339
Emmanuel Dennis,WAT,"M,F",no,yes,,,127
Enda Stevens,SHU,D,no,yes,109,355,
Enock Mwepu,BHA,M,no,yes,,,138
Eric Bailly,MUN,D,no,yes,450,184,453
Eric Dier,TOT,D,no,yes,255,291,211
Eric Garcia,MCI,D,no,yes,176,353,
Erik Lamela,TOT,M,no,yes,166,347,
Erik Pieters,BUR,D,no,yes,239,333,217
Ethan Ampadu,SHU,"D,M",no,yes,,305,
Ethan Pinnock,BRF,D,no,yes,,,204
Etienne Capoue,WAT,M,no,yes,185,,
Evan Ferguson,BHA,F,no,yes,,,514
Ezequiel Schelotto,BHA,D,no,yes,434,,
