Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Joseph Willock,ARS,M,180,FA,ARS 1<br/>@LIV 3 F,6.25,6.25,17%,11.6%
Michael Keane,EVE,D,181,Eoghanoc,EVE 0<br/>@AVL 2 F,6.2,6.2,100%,0.8%
Kiko Femenia,WAT,D,182,FA,WHU 3<br/>@WAT 1 F,6.1,6.1,17%,12%
Dennis Praet,LEI,M,183,FA,LEI 2<br/>@SHU 1 F,6.1,6.1,8%,2.1%
Ryan Fraser,BOU,M,184,Seanmacd,MCI 3<br/>@BOU 1 F,6.05,6.05,100%,2.2%
Jonny,WOL,"D,M",185,ColmOF,BUR 1<br/>@WOL 1 F,6.05,6.05,75%,-2.6%
Marcus Rashford,MUN,F,186,ColmL, CRY 2<br/>@MUN 1 F,6,6,100%,0%
Lucas Moura,TOT,"M,F",187,ZKL,NEW 1<br/>@TOT 0 F,6,6,100%,0.8%
Aaron Ramsdale,BOU,G,188,FA,MCI 3<br/>@BOU 1 F,6,6,8%,4.3%
Martin Kelly,CRY,D,189,FA, CRY 2<br/>@MUN 1 F,6,6,0%,-5.5%
Toby Alderweireld,TOT,D,190,Damo,NEW 1<br/>@TOT 0 F,5.95,5.95,83%,1.8%
Angelo Ogbonna,WHU,D,191,FA,WHU 3<br/>@WAT 1 F,5.95,5.95,0%,-3.1%
Ricardo Pereira,LEI,D,192,mcavinur,LEI 2<br/>@SHU 1 F,5.8,5.8,100%,0.1%
Tom Trybull,NOR,M,193,FA,CHE 3<br/>@NOR 2 F,5.55,5.55,8%,5.3%
Gylfi Sigurdsson,EVE,M,194,ColmOF,EVE 0<br/>@AVL 2 F,5.5,5.5,100%,0.3%
David de Gea,MUN,G,195,Seanmacd, CRY 2<br/>@MUN 1 F,5.5,5.5,100%,1.8%
John Lundstram,SHU,"D,M",196,FA,LEI 2<br/>@SHU 1 F,5.5,5.5,42%,-3.8%
Dominic Solanke,BOU,F,197,FA,MCI 3<br/>@BOU 1 F,5.5,5.5,0%,-1.5%
Trezeguet,AVL,M,198,FA,EVE 0<br/>@AVL 2 F,5.45,5.45,8%,-3.9%
Craig Dawson,WAT,D,199,FA,WHU 3<br/>@WAT 1 F,5.35,5.35,8%,2.8%
Ryan Fredericks,WHU,D,200,FA,WHU 3<br/>@WAT 1 F,5.35,5.35,0%,-4.2%
Max Aarons,NOR,D,201,FA,CHE 3<br/>@NOR 2 F,5.3,5.3,33%,7.5%
Victor Lindelof,MUN,D,202,FA, CRY 2<br/>@MUN 1 F,5.2,5.2,83%,15.3%
Chris Basham,SHU,D,203,FA,LEI 2<br/>@SHU 1 F,5.2,5.2,0%,-2%
Craig Cathcart,WAT,D,204,FA,WHU 3<br/>@WAT 1 F,5.2,5.2,42%,33.9%
