"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Jamal Lewis","NOR","D","182","FA","AVL 5<br/>@NOR 1 F","6","6","4%","-4.5%"
"Frederic Guilbert","AVL","D","183","ZKL","AVL 5<br/>@NOR 1 F","5.85","5.85","42%","+16.9%"
"Danny Welbeck","WAT","F","184","FA","SHU 0<br/>@WAT 0 F","5.85","5.85","12%","-21.3%"
"Shane Long","SOU","F","185","FA","CHE 4<br/>@SOU 1 F","5.85","5.85","2%","+2.5%"
"Daniel James","MUN","M","186","Seanmacd","MUN 0<br/>@NEW 1 F","5.75","5.75","91%","-8.9%"
"Mark Noble","WHU","M","187","FA","CRY 2<br/>@WHU 1 F","5.75","5.75","30%","-20.1%"
"Andre Gray","WAT","F","188","FA","SHU 0<br/>@WAT 0 F","5.75","5.75","15%","-10.4%"
"Callum Robinson","SHU","F","189","FA","SHU 0<br/>@WAT 0 F","5.75","5.75","7%","-10.1%"
"Oleksandr Zinchenko","MCI","D,M","190","ColmOF","WOL 2<br/>@MCI 0 F","5.7","5.7","84%","-15.6%"
"Erik Pieters","BUR","D","191","Seanmacd","EVE 0<br/>@BUR 1 F","5.65","5.65","86%","-5.3%"
"Joel Ward","CRY","D","192","FA","CRY 2<br/>@WHU 1 F","5.6","5.6","46%","-21.2%"
"Ryan Bertrand","SOU","D,M","193","FA","CHE 4<br/>@SOU 1 F","5.55","5.55","15%","-2.2%"
"Lucas Moura","TOT","M,F","194","W (Thu)","TOT 0<br/>@BHA 3 F","5.5","5.5","91%","-0.9%"
"Chris Wood","BUR","F","195","FA","EVE 0<br/>@BUR 1 F","5.5","5.5","49%","-42.4%"
"Harry Wilson","BOU","M","196","Damo","BOU 0<br/>@ARS 1 F","5.45","5.45","66%","-33.8%"
"Marcus Rashford","MUN","F","197","ColmL","MUN 0<br/>@NEW 1 F","5.35","5.35","100%","-0.1%"
"Jamie Vardy","LEI","F","198","ColmOF","LEI 1<br/>@LIV 2 F","5.25","5.25","100%","-0.3%"
"David de Gea","MUN","G","199","Seanmacd","MUN 0<br/>@NEW 1 F","5","5","88%","-3.3%"
"Gerard Deulofeu","WAT","F","200","FA","SHU 0<br/>@WAT 0 F","5","5","80%","-11.5%"
"Kepa Arrizabalaga","CHE","G","201","FA","CHE 4<br/>@SOU 1 F","5","5","76%","-7.6%"
"John Lundstram","SHU","D,M","202","ColmOF","SHU 0<br/>@WAT 0 F","5","5","57%","-1.2%"
"Aaron Ramsdale","BOU","G","203","FA","BOU 0<br/>@ARS 1 F","5","5","21%","-4.1%"
"Tanguy Ndombele","TOT","M","204","Damo","TOT 0<br/>@BHA 3 F","4.85","4.85","97%","-2.8%"
"Morgan Schneiderlin","EVE","M","205","FA","EVE 0<br/>@BUR 1 F","4.85","4.85","2%","-6.8%"
"Riyad Mahrez","MCI","M,F","206","ColmOF","WOL 2<br/>@MCI 0 F","4.75","4.75","100%","-0.2%"
"Andriy Yarmolenko","WHU","M,F","207","ZKL","CRY 2<br/>@WHU 1 F","4.75","4.75","83%","-8.7%"
"Patrick Cutrone","WOL","F","208","FA","WOL 2<br/>@MCI 0 F","4.75","4.75","20%","-4.9%"
"Craig Dawson","WAT","D","209","FA","SHU 0<br/>@WAT 0 F","4.6","4.6","3%","+2.7%"
"Simon Francis","BOU","D","210","FA","BOU 0<br/>@ARS 1 F","4.55","4.55","1%","+1.2%"
"Youri Tielemans","LEI","M","211","ColmOF","LEI 1<br/>@LIV 2 F","4.5","4.5","99%","-0.6%"
"Manuel Lanzini","WHU","M","212","Damo","CRY 2<br/>@WHU 1 F","4.5","4.5","97%","-3.2%"
"Ryan Fraser","BOU","M","213","FA","BOU 0<br/>@ARS 1 F","4.5","4.5","93%","-7%"
"Juan Mata","MUN","M","214","FA","MUN 0<br/>@NEW 1 F","4.5","4.5","11%","-14.1%"
"Roberto Jimenez","WHU","G","215","FA","CRY 2<br/>@WHU 1 F","4.5","4.5","9%","-32.2%"
"Jay Rodriguez","BUR","F","216","FA","EVE 0<br/>@BUR 1 F","4.5","4.5","4%","-4.7%"
"Max Aarons","NOR","D","217","FA","AVL 5<br/>@NOR 1 F","4.4","4.4","15%","-9.7%"
"David Silva","MCI","M","218","ZKL","WOL 2<br/>@MCI 0 F","4.25","4.25","100%","-0.1%"
"Kyle Walker","MCI","D","219","MKFC","WOL 2<br/>@MCI 0 F","4.2","4.2","92%","-7.7%"
"Ezri Konsa Ngoyo","AVL","D","220","FA","AVL 5<br/>@NOR 1 F","4.2","4.2","1%","+0.6%"
"Marc Albrighton","LEI","M","221","FA","LEI 1<br/>@LIV 2 F","4.1","4.1","6%","+6.3%"
"Oliver McBurnie","SHU","F","222","FA","SHU 0<br/>@WAT 0 F","4.05","4.05","8%","-8.6%"
"Sebastian Prodl","WAT","D","223","FA","SHU 0<br/>@WAT 0 F","3.95","3.95","1%","+0.5%"
"Ashley Barnes","BUR","F","224","Seanmacd","EVE 0<br/>@BUR 1 F","3.85","3.85","90%","-2%"
"Lys Mousset","SHU","F","225","FA","SHU 0<br/>@WAT 0 F","3.75","3.75","2%","+2.4%"
"Sergio Aguero","MCI","F","226","ZKL","WOL 2<br/>@MCI 0 F","3.5","3.5","100%","0%"
