Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Tammy Abraham,CHE,F,232,ZKL,CHE 0<br/>@MUN 4 F,2.45,2.45,82%,0%
Ilkay Gundogan,MCI,M,233,MKFC,MCI 5<br/>@WHU 0 F,2.25,2.25,91%,0%
Dani Ceballos,ARS,M,234,Seanmacd,ARS 1</br>@NEW 0 F,2.25,2.25,90%,0%
Roberto Pereyra,WAT,M,235,FA,WAT 0</br>@BHA 3 F,2.25,2.25,75%,0%
Jonathan Kodjia,AVL,F,236,FA,AVL 1</br>@TOT 3 F,2.25,2.25,2%,0%
Phil Foden,MCI,"M,F",237,FA,MCI 5<br/>@WHU 0 F,2,2,32%,0%
Chicharito,WHU,F,238,FA,MCI 5<br/>@WHU 0 F,2,2,10%,0%
Oliver McBurnie,SHU,F,239,FA,SHU 1</br>@BOU 1 F,1.95,1.95,9%,0%
Douglas Luiz,AVL,M,240,FA,AVL 1</br>@TOT 3 F,1.85,1.85,4%,0%
Romain Saiss,WOL,M,241,FA,WOL 0</br>@LEI 0 F,1.85,1.85,1%,0%
Sadio Mane,LIV,"M,F",242,Seanmacd,NOR 1<br/>@LIV 4 F,1.75,1.75,100%,0%
Wilfried Zaha,CRY,F,243,ColmOF,EVE 0<br/>@CRY 0 F,1.75,1.75,100%,0%
Nicolas Pepe,ARS,F,244,Seanmacd,ARS 1</br>@NEW 0 F,1.75,1.75,94%,0%
Sofiane Boufal,SOU,M,245,FA,SOU 0<br/>@BUR 3 F,1.75,1.75,1%,0%
Aaron Cresswell,WHU,D,246,FA,MCI 5<br/>@WHU 0 F,1.7,1.7,7%,0%
Patrick Cutrone,WOL,F,247,FA,WOL 0</br>@LEI 0 F,1.5,1.5,40%,0%
Tom Davies,EVE,M,248,FA,EVE 0<br/>@CRY 0 F,1.5,1.5,1%,0%
Connor Wickham,CRY,F,249,FA,EVE 0<br/>@CRY 0 F,1.5,1.5,1%,0%
Jota,AVL,M,250,FA,AVL 1</br>@TOT 3 F,1.35,1.35,8%,0%
James Milner,LIV,M,251,mcavinur,NOR 1<br/>@LIV 4 F,1.25,1.25,77%,0%
Pierre-Emile Hojbjerg,SOU,M,252,FA,SOU 0<br/>@BUR 3 F,1.25,1.25,65%,0%
Olivier Giroud,CHE,F,253,MKFC,CHE 0<br/>@MUN 4 F,1.25,1.25,62%,0%
Juan Mata,MUN,M,254,FA,CHE 0<br/>@MUN 4 F,1.25,1.25,19%,0%
Aaron Lennon,BUR,M,255,FA,SOU 0<br/>@BUR 3 F,1.25,1.25,1%,0%
Gabriel Martinelli,ARS,M,256,FA,ARS 1</br>@NEW 0 F,1.1,1.1,1%,0%
Mason Greenwood,MUN,F,257,FA,CHE 0<br/>@MUN 4 F,1,1,37%,0%
Onel Hernandez,NOR,M,258,FA,NOR 1<br/>@LIV 4 F,1,1,4%,0%
Josip Drmic,NOR,F,259,FA,NOR 1<br/>@LIV 4 F,1,1,3%,0%
Georges-Kevin Nkoudou,TOT,M,260,FA,AVL 1</br>@TOT 3 F,1,1,1%,0%
Felipe Anderson,WHU,M,261,ZKL,MCI 5<br/>@WHU 0 F,0.85,0.85,100%,0%
Michael Obafemi,SOU,F,262,FA,SOU 0<br/>@BUR 3 F,0.75,0.75,1%,0%
NGolo Kante,CHE,M,263,ColmOF,CHE 0<br/>@MUN 4 F,0.5,0.5,93%,0%
Jay Rodriguez,BUR,F,264,FA,SOU 0<br/>@BUR 3 F,0.5,0.5,14%,0%
Bernardo,BHA,D,265,FA,WAT 0</br>@BHA 3 F,0.5,0.5,2%,0%
Dominic Solanke,BOU,F,266,FA,SHU 1</br>@BOU 1 F,0.5,0.5,2%,0%
