GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
14,CRY,SOU,48,26,CRYSOU,1,0
14,NEW,AVL,51,24,NEWAVL,4,0
14,FUL,EVE,40,34,FULEVE,0,0
14,LIV,LEE,77,9,LIVLEE,1,2
14,ARS,NOT,75,8,ARSNOT,5,0
14,MUN,WHU,57,19,MUNWHU,1,0
15,LEE,BOU,54,22,LEEBOU,4,3
15,MCI,FUL,87,4,MCIFUL,2,1
15,NOT,BRF,31,44,NOTBRF,2,2
15,WOL,BHA,28,46,WOLBHA,2,3
15,EVE,LEI,38,36,EVELEI,0,2
15,CHE,ARS,43,31,CHEARS,0,1
15,AVL,MUN,27,49,AVLMUN,3,1
15,SOU,NEW,25,51,SOUNEW,1,4
15,WHU,CRY,51,22,WHUCRY,1,2
15,TOT,LIV,33,45,TOTLIV,1,2
16,MCI,BRF,85,5,MCIBRF,1,2
16,BOU,EVE,36,37,BOUEVE,3,0
16,LIV,SOU,77,8,LIVSOU,3,1
16,NOT,CRY,31,42,NOTCRY,1,0
16,TOT,LEE,66,16,TOTLEE,4,3
16,WHU,LEI,48,27,WHULEI,0,2
16,NEW,CHE,41,33,NEWCHE,1,0
16,WOL,ARS,17,59,WOLARS,0,2
16,BHA,AVL,57,20,BHAAVL,1,2
16,FUL,MUN,22,56,FULMUN,1,2
17,BRF,TOT,28,50,BRFTOT,2,2
17,CRY,FUL,49,26,CRYFUL,0,3
17,EVE,WOL,41,31,EVEWOL,1,2
17,LEI,NEW,29,47,LEINEW,0,3
17,SOU,BHA,28,48,SOUBHA,1,3
17,AVL,LIV,21,58,AVLLIV,1,3
17,ARS,WHU,66,12,ARSWHU,3,1
17,CHE,BOU,70,11,CHEBOU,2,0
17,MUN,NOT,74,9,MUNNOT,3,0
17,LEE,MCI,12,73,LEEMCI,1,3
18,WHU,BRF,48,27,WHUBRF,0,2
18,LIV,LEI,73,11,LIVLEI,2,1
18,WOL,MUN,22,54,WOLMUN,0,1
18,BOU,CRY,37,36,BOUCRY,0,2
18,FUL,SOU,44,32,FULSOU,2,1
18,MCI,EVE,85,4,MCIEVE,1,1
18,NEW,LEE,66,15,NEWLEE,0,0
18,BHA,ARS,30,45,BHAARS,2,4
18,TOT,AVL,58,20,TOTAVL,0,2
18,NOT,CHE,18,59,NOTCHE,1,1
19,BRF,LIV,20,61,BRFLIV,3,1
19,ARS,NEW,53,22,ARSNEW,0,0
