,pred_01,gw_01,min_01,amp_01,gw_02,min_02,amp_02,gw_03,min_03,amp_03,gw_04,min_04,amp_04,gw_05,min_05,amp_05,gw_06,min_06,amp_06,gw_07,min_07,amp_07,gw_08,min_08,amp_08,gw_09,min_09,amp_09,gw_10,min_10,amp_10,gw_11,min_11,amp_11,gw_12,min_12,amp_12,gw_13,min_13,amp_13,gw_14,min_14,amp_14,gw_15,min_15,amp_15,gw_16,min_16,amp_16,gw_17,min_17,amp_17,gw_18,min_18,amp_18,gw_19,min_19,amp_19,gw_20,min_20,amp_20,gw_21,min_21,amp_21,gw_22,min_22,amp_22,gw_23,min_23,amp_23,gw_24,min_24,amp_24,gw_25,min_25,amp_25,gw_26,min_26,amp_26,gw_27,min_27,amp_27,gw_28,min_28,amp_28,gw_29,min_29,amp_29,team,name,position
356,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,0.0,0.0,2,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,Timothy Fosu-Mensah,D
357,8.3,12.75,90.0,0,5.0,90.0,1,5.2,90.0,2,8.35,90.0,1,14.9,90.0,1,5.0,90.0,0,5.8,90.0,0,0.0,0.0,2,5.4,90.0,-1,5.4,90.0,3,3.55,90.0,0,7.1,90.0,2,4.7,90.0,1,15.6,90.0,3,5.55,90.0,0,8.4,90.0,-1,-0.5,90.0,1,5.85,90.0,3,5.65,90.0,2,14.0,90.0,1,7.05,90.0,0,13.55,90.0,4,5.5,90.0,-1,0.0,0.0,2,13.8,90.0,0,0.0,0.0,-1,0.0,90.0,3,0.0,90.0,1,0.0,90.0,0,MUN,Victor Lindelof,D
358,5.0,17.64,74.0,0,7.5,1.0,1,0.0,0.0,2,5.43,68.0,1,7.85,90.0,1,8.0,90.0,0,6.39,74.0,0,7.5,90.0,2,10.5,90.0,-1,9.88,82.0,3,8.6,68.0,0,23.79,70.0,2,10.48,73.0,1,8.5,90.0,3,4.5,10.0,0,12.66,16.0,-1,0.0,0.0,1,0.0,0.0,3,11.5,90.0,2,19.11,73.0,1,6.33,32.0,0,13.94,71.0,4,7.84,74.0,-1,8.0,45.0,2,7.81,72.0,0,0.0,10.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,Andreas Pereira,M
359,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,0.0,0.0,2,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,Angel Gomes,M
360,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,0.0,0.0,2,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,Arnau Puigmal Martinez,M
361,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,0.0,0.0,2,8.3,90.0,0,0.0,90.0,-1,0.0,90.0,3,0.0,90.0,1,0.0,88.0,0,MUN,Bruno Fernandes,M
362,0.0,20.0,16.0,0,2.28,89.0,1,11.75,90.0,2,20.1,90.0,1,3.25,90.0,1,6.5,90.0,0,7.0,90.0,0,5.75,90.0,2,15.75,90.0,-1,17.44,80.0,3,12.38,80.0,0,10.75,90.0,2,16.0,90.0,1,5.25,90.0,3,8.5,90.0,0,17.75,90.0,-1,17.9,86.0,1,8.15,58.0,3,0.0,0.0,2,14.25,90.0,1,4.27,58.0,0,7.26,31.0,4,2.6,90.0,-1,5.67,69.0,2,7.41,88.0,0,0.0,80.0,-1,0.0,90.0,3,0.0,0.0,1,0.0,90.0,0,MUN,Daniel James,M
363,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,0.0,0.0,2,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,Dylan Levitt,M
364,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,1,0.0,0.0,3,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,4,0.0,0.0,-1,0.0,0.0,2,0.0,0.0,0,0.0,0.0,-1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,MUN,Ethan Galbraith,M
365,8.1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,1,18.78,23.0,1,20.0,19.0,0,20.0,16.0,0,6.25,90.0,2,5.6,90.0,-1,12.1,90.0,3,15.45,90.0,0,11.25,90.0,2,10.55,90.0,1,10.95,90.0,3,13.2,90.0,0,9.6,90.0,-1,15.1,90.0,1,17.3,90.0,3,10.5,90.0,2,5.95,90.0,1,13.75,90.0,0,12.0,90.0,4,19.75,90.0,-1,12.5,90.0,2,9.2,90.0,0,0.0,90.0,-1,0.0,79.0,3,0.0,90.0,1,0.0,90.0,0,MUN,Fred,M
