GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
35,SHU,CHE,21,54,SHUCHE,,
35,BHA,MCI,20,58,BHAMCI,,
35,WOL,EVE,45,25,WOLEVE,,
35,AVL,CRY,36,36,AVLCRY,,
35,TOT,ARS,36,38,TOTARS,,
35,BOU,LEI,20,57,BOULEI,,
35,MUN,SOU,71,10,MUNSOU,,
36,CHE,NOR,85,4,CHENOR,,
36,NEW,TOT,30,44,NEWTOT,,
36,MCI,BOU,85,5,MCIBOU,,
36,BUR,WOL,23,47,BURWOL,,
36,ARS,LIV,29,46,ARSLIV,,
36,EVE,AVL,46,28,EVEAVL,,
36,LEI,SHU,59,16,LEISHU,,
36,SOU,BHA,45,28,SOUBHA,,
36,CRY,MUN,11,69,CRYMUN,,
36,WHU,WAT,38,37,WHUWAT,,
37,NOR,BUR,30,41,NORBUR,,
37,BOU,SOU,41,34,BOUSOU,,
37,TOT,LEI,26,49,TOTLEI,,
37,BHA,NEW,41,31,BHANEW,,
37,SHU,EVE,35,35,SHUEVE,,
37,WOL,CRY,44,26,WOLCRY,,
37,WAT,MCI,12,71,WATMCI,,
37,AVL,ARS,33,41,AVLARS,,
37,MUN,WHU,73,10,MUNWHU,,
37,LIV,CHE,50,27,LIVCHE,,
38,CHE,WOL,57,19,CHEWOL,,
38,EVE,BOU,45,29,EVEBOU,,
38,NEW,LIV,22,56,NEWLIV,,
38,MCI,NOR,71,13,MCINOR,,
38,WHU,AVL,39,35,WHUAVL,,
38,ARS,WAT,41,32,ARSWAT,,
38,BUR,BHA,38,32,BURBHA,,
38,SOU,SHU,40,31,SOUSHU,,
38,CRY,TOT,32,41,CRYTOT,,
38,LEI,MUN,30,44,LEIMUN,,
